Predicate; Input; Output
DivisibleByTwo; [-0.04597495138895025, 0.894062223878022, 0.22842198844951778, 0.19338886928259758, 0.31011209094713577, 0.2991873790184503, 0.4058919643727059, 0.4365924575814788, 0.10014122723577268, -0.17674457268842914]; []
DivisibleByTwo; [-0.506648118160758, -0.34033851165846474, -0.7011689579663882, 0.5865795931175524, 0.28750053092675865, -0.23894962513364515, 0.5721994362591196, 0.14272155471606074, 0.9070122619154712, 0.7626173946995554]; []
IsNotNaN; [NaN, 0.09821121054837345, -0.7791872089933853, -0.9601465499619461, -0.4401068831007342, 0.04833139700639921, -0.41086061532806983, -0.8780098318660614, NaN, -0.8289306707295929]; [0.09821121054837345, -0.7791872089933853, -0.9601465499619461, -0.4401068831007342, 0.04833139700639921, -0.41086061532806983, -0.8780098318660614, -0.8289306707295929]
IsPositive; [0.619350430311447, -0.20040215624747226, 0.5193384693707639, 0.6904778283205024, -0.10178455218496274, 0.5526726820860741, 0.52957506473798, -0.39767099402976624, 0.7346823688012847, -0.09989454672623865]; [0.619350430311447, 0.5193384693707639, 0.6904778283205024, 0.5526726820860741, 0.52957506473798, 0.7346823688012847]
DivisibleByTwo; [-0.609523822101157, 0.5490852673262678, 0.831883841501003, -0.8281871635105829, 0.05627947000417044, 0.5378512960013535, -0.49558911694500685, -0.5822963423625092, -0.46226062370588816, 0.3141124595934812]; []
IsPositive; [0.5666468807323188, -0.3069567588847337, -0.7266161618124496, 0.6357061159042552, 0.34022140493216146, -0.2023300653659199, -0.9844490562687263, -0.564389203837639, 0.3634081721467368, -0.30309323159251456]; [0.5666468807323188, 0.6357061159042552, 0.34022140493216146, 0.3634081721467368]
IsPositive; [-0.563899361719367, 0.9187819089451372, 0.33255803378799453, -0.6850954163908409, -0.7397877258482768, 0.007400718716579435, 0.5654221628126017, 0.166541213530069, 0.15269405540978687, -0.7694553023912678]; [0.9187819089451372, 0.33255803378799453, 0.007400718716579435, 0.5654221628126017, 0.166541213530069, 0.15269405540978687]
IsPositive; [0.8484879096268103, 0.38189294778721905, 0.8097462364045962, 0.14842915664936207, -0.08478639509107944, -0.9223146766746151, 0.7501360415147549, -0.29199112398732274, 0.9993161119142129, 0.7430203552156094]; [0.8484879096268103, 0.38189294778721905, 0.8097462364045962, 0.14842915664936207, 0.7501360415147549, 0.9993161119142129, 0.7430203552156094]
DivisibleByTwo; [0.15325660265659624, -0.4541301539240743, -0.08297115684589706, -0.667931775087067, 0.7575599162514319, -0.8140171820827955, 0.9545144847532838, -0.9056978295880673, 0.3113667366909785, 0.3240290439471887]; []
DivisibleByTwo; [0.471382418820975, 0.8232455438065769, -0.6409252991062382, 0.9466509529430163, 0.5785260084413744, 0.1675913264460911, 0.24929968551555826, 0.9031200817422533, -0.49173965414096066, 0.9239440783673154]; []
IsNotNaN; [0.16750179593811487, 0.728555699595502, -0.6329920159976079, 0.818325893452756, 0.7241627490221894, -0.9880319052971365, -0.15445655134654768, 0.18397782873123192, 0.170597527912709, 0.4090408928070064]; [0.16750179593811487, 0.728555699595502, -0.6329920159976079, 0.818325893452756, 0.7241627490221894, -0.9880319052971365, -0.15445655134654768, 0.18397782873123192, 0.170597527912709, 0.4090408928070064]
IsPositive; [0.15907605304251882, -0.8441207827817125, 0.6679981495769418, 0.5187078793490223, 0.9992127874939476, 0.5277978877796174, 0.2013231909965998, -0.7257801587244421, -0.3978882914233577, -0.7444250098772214]; [0.15907605304251882, 0.6679981495769418, 0.5187078793490223, 0.9992127874939476, 0.5277978877796174, 0.2013231909965998]
IsPositive; [0.7081631296031574, -0.7564621009298222, 0.17189977152163127, -0.25926155905205794, 0.7837254980031947, -0.7094695281243619, 0.8456956917024685, 0.49143004140099356, 0.9266015907749365, -0.5824082634977212]; [0.7081631296031574, 0.17189977152163127, 0.7837254980031947, 0.8456956917024685, 0.49143004140099356, 0.9266015907749365]
IsNotNaN; [NaN, 0.5330217251673792, -0.29400993528938857, -0.7080606595862666, NaN, -0.9713130145145474, 0.45956987272633754, 0.951990891653614, 0.3103190072308806, 0.9705842384390406]; [0.5330217251673792, -0.29400993528938857, -0.7080606595862666, -0.9713130145145474, 0.45956987272633754, 0.951990891653614, 0.3103190072308806, 0.9705842384390406]
IsPositive; [0.1722300523322986, -0.5031417375947338, -0.0761886950097983, -0.48480046970340185, -0.9606210213910669, 0.18114035860018785, -0.46040578784760067, -0.43821335199672595, 0.8845727262206873, 0.26883473219804555]; [0.1722300523322986, 0.18114035860018785, 0.8845727262206873, 0.26883473219804555]
IsNotNaN; [NaN, NaN, NaN, -0.7556701484665744, 0.16548633666792112, 0.7890701207378541, NaN, -0.4649203095962633, 0.18846465869544415, -0.3067587845038604]; [-0.7556701484665744, 0.16548633666792112, 0.7890701207378541, -0.4649203095962633, 0.18846465869544415, -0.3067587845038604]
IsNotNaN; [NaN, -0.23029641180408378, 0.7535722952481032, NaN, 0.6632502879715443, -0.22310543207829214, -0.2211793248247811, -0.618813793545735, 0.23308531268361699, -0.9753399141223222]; [-0.23029641180408378, 0.7535722952481032, 0.6632502879715443, -0.22310543207829214, -0.2211793248247811, -0.618813793545735, 0.23308531268361699, -0.9753399141223222]
DivisibleByTwo; [-0.07988034290730095, 0.069108847871175, 0.9181093065716979, 0.006059929720378943, -0.562706087676323, -0.589043171619769, -0.510377222416635, -0.8032542130205211, -0.0871998404473171, 0.2525532508788688]; []
IsPositive; [0.09737750779185839, 0.6412492410846724, -0.41629500189020585, 0.9084551667577547, -0.905604951704652, 0.9691038650075787, -0.8177524849191984, -0.8636064850509775, 0.7943509422059183, -0.30147118710400345]; [0.09737750779185839, 0.6412492410846724, 0.9084551667577547, 0.9691038650075787, 0.7943509422059183]
DivisibleByTwo; [-0.8724229486608905, 0.9939092993879148, 0.2824349387601379, -0.9454585531388688, 0.6710227447778327, -0.14418777907418745, 0.816614209321558, -0.7899924768408373, -0.8304846586994266, 0.9589764676092758]; []
DivisibleByTwo; [-0.41525911162458384, -0.14772251855487517, -0.9534507342265492, -0.7586178391389562, 0.6239616992925485, -0.7153014216632774, -0.8026620631292907, 0.9551984315592565, -0.4375975012086828, -0.10856641850072801]; []
IsNotNaN; [0.6045797585149268, 0.5590965245883075, -0.4908828235214997, -0.2743446231144704, 0.7535201497339903, -0.2671277639752354, NaN, 0.22533082863493936, 0.06975827799894119, -0.9921544905426398]; [0.6045797585149268, 0.5590965245883075, -0.4908828235214997, -0.2743446231144704, 0.7535201497339903, -0.2671277639752354, 0.22533082863493936, 0.06975827799894119, -0.9921544905426398]
DivisibleByTwo; [0.3728133379071594, -0.38255568029871023, 0.050514570549943016, 0.4693984883924516, 0.9374724224765834, 0.44065449594150485, -0.9801606779046517, 0.26340160747597396, -0.5552055227389547, -0.20198263997718913]; []
IsNotNaN; [NaN, 0.2261692874618444, 0.3091231965784358, 0.44554954404378067, NaN, 0.8579764574058666, NaN, -0.3709538012714422, 0.7061901854278305, -0.9269408585719143]; [0.2261692874618444, 0.3091231965784358, 0.44554954404378067, 0.8579764574058666, -0.3709538012714422, 0.7061901854278305, -0.9269408585719143]
IsNotNaN; [-0.3205189761727034, 0.7007092175009189, 0.17469495289490378, -0.3155889756783503, 0.03762255961323979, -0.021219246335552944, -0.32094119934212895, -0.5804193289291688, NaN, NaN]; [-0.3205189761727034, 0.7007092175009189, 0.17469495289490378, -0.3155889756783503, 0.03762255961323979, -0.021219246335552944, -0.32094119934212895, -0.5804193289291688]
DivisibleByTwo; [0.38095422540565127, 0.4140626349293277, -0.0737908260650415, 0.8314949861272274, 0.11188670103532061, 0.5917680639270093, 0.34701778195378163, 0.8673210365246278, 0.914124318460402, -0.8825498009803854]; []
IsNotNaN; [-0.5529746704089369, NaN, NaN, 0.19385023939676116, -0.11298586721584525, -0.4741466294023169, 0.6681769976012271, -0.12327872053694677, 0.006586874889841665, -0.5816403956756104]; [-0.5529746704089369, 0.19385023939676116, -0.11298586721584525, -0.4741466294023169, 0.6681769976012271, -0.12327872053694677, 0.006586874889841665, -0.5816403956756104]
IsPositive; [0.620920676697436, 0.2937768246707184, -0.8026483131286486, -0.8830599041722806, -0.2801889709429055, -0.3209975247673489, -0.7816836109785275, -0.26034560835193465, -0.1899358524863115, 0.9716590653407104]; [0.620920676697436, 0.2937768246707184, 0.9716590653407104]
IsNotNaN; [0.4142464368851688, -0.6805185990065528, -0.5379781230539842, 0.37969652654127994, -0.9112438611632292, 0.9682172532182012, 0.6338217183977053, 0.27018842785535013, 0.38741986190532685, -0.7581859993875049]; [0.4142464368851688, -0.6805185990065528, -0.5379781230539842, 0.37969652654127994, -0.9112438611632292, 0.9682172532182012, 0.6338217183977053, 0.27018842785535013, 0.38741986190532685, -0.7581859993875049]
IsPositive; [0.17382864907311468, 0.024787770492325834, -0.037796833944456765, 0.7250423021496974, -0.1781750582122572, 0.08609488357213957, -0.5829683117102196, -0.6524978999080069, -0.7472791238086209, 0.3212193116273534]; [0.17382864907311468, 0.024787770492325834, 0.7250423021496974, 0.08609488357213957, 0.3212193116273534]
IsNotNaN; [NaN, NaN, -0.5961865266966684, NaN, 0.9638790438403424, -0.863378820970103, -0.16361272999237797, -0.4555963599226027, -0.9266461226111369, 0.4893721978999397]; [-0.5961865266966684, 0.9638790438403424, -0.863378820970103, -0.16361272999237797, -0.4555963599226027, -0.9266461226111369, 0.4893721978999397]
DivisibleByTwo; [0.2047159425827585, -0.12431632277624893, 0.9344250949092188, -0.2534023279338875, 0.040289417329438804, 0.6719296891726179, 0.3393145398257684, 0.6277809040072291, -0.9936429519616741, -0.6080436603790103]; []
DivisibleByTwo; [-0.35778095835457635, -0.8633333195412618, -0.4623573996608319, -0.9674711450215236, -0.5119729311705636, -0.533809391527621, -0.6476471691779078, -0.494015919578882, 0.04727036730958756, 0.020010600069389817]; []
IsNotNaN; [0.7083664768732334, 0.2593618222237519, 0.8762685837756765, -0.42757037074196447, 0.4727570742220235, NaN, 0.3749394105712176, -0.7923595139914585, 0.08356764678008988, NaN]; [0.7083664768732334, 0.2593618222237519, 0.8762685837756765, -0.42757037074196447, 0.4727570742220235, 0.3749394105712176, -0.7923595139914585, 0.08356764678008988]
DivisibleByTwo; [0.4807633020794255, 0.6108627226661267, -0.6949788138873794, -0.48225604410285494, -0.2840926197656617, -0.47191646863683534, 0.3121174193804481, 0.02899112103790835, -0.0044720817361132426, 0.7677547472183806]; []
IsPositive; [-0.9121699810583728, -0.1364891537155557, -0.2912122230025487, -0.013061683655174017, -0.6241135048213893, 0.4815883245024939, -0.4998603119146936, -0.31396634837333126, 0.5043761487896539, -0.89838024136102]; [0.4815883245024939, 0.5043761487896539]
IsPositive; [-0.09305797123064852, 0.33036104136775446, 0.28019938511027154, -0.7181556795327972, -0.4495097634235252, 0.323515288832241, -0.14836476810289612, 0.5383254012548506, 0.9310615276641547, 0.6765448623310348]; [0.33036104136775446, 0.28019938511027154, 0.323515288832241, 0.5383254012548506, 0.9310615276641547, 0.6765448623310348]
DivisibleByTwo; [0.9460712788534191, -0.23000589480509404, 0.04358671561347194, -0.35134734504954857, -0.7877953229268331, -0.9005417763686303, 0.00907894970288603, -0.6207455163680087, 0.530789216912213, 0.8886717659556507]; []
DivisibleByTwo; [-0.29203629760222416, 0.5878721892104943, 0.10526841629404204, -0.8485514058377106, 0.004971209257754072, 0.7874796620045237, 0.9034010081573733, -0.6398029919269497, 0.5712676879756693, 0.13855933139540277]; []
IsNotNaN; [NaN, -0.2678593987861142, NaN, -0.934731311075307, 0.5016735240155343, 0.4806822806775852, NaN, NaN, 0.32071750858331405, NaN]; [-0.2678593987861142, -0.934731311075307, 0.5016735240155343, 0.4806822806775852, 0.32071750858331405]
DivisibleByTwo; [0.29406714336932005, 0.7358054003691885, 0.2970832596481381, 0.8200240220127675, -0.5409794854154677, -0.9313674062387465, 0.46209969057263955, 0.05398939534853242, 0.13040368919885692, -0.886208190150904]; []
DivisibleByTwo; [0.09440179169012208, 0.6168404201024582, 0.4542538377430081, -0.08520309722155694, 0.05478116076263673, 0.32353983337021064, -0.9242721289830234, 0.29019870651054425, -0.10756179667489407, 0.1574174065847933]; []
IsNotNaN; [0.9903622894728796, -0.6834977955777575, NaN, 0.13373756009425208, -0.17313847497255286, NaN, -0.4674984317966697, 0.9277265163173758, 0.4147463744203861, -0.8971824068332974]; [0.9903622894728796, -0.6834977955777575, 0.13373756009425208, -0.17313847497255286, -0.4674984317966697, 0.9277265163173758, 0.4147463744203861, -0.8971824068332974]
DivisibleByTwo; [0.06704978053654531, 0.4187318018089381, 0.8437116337265276, -0.1289166264725583, 0.3611452212523485, 0.8275761070417789, -0.612443924368502, -0.48217747121450616, -0.6994614564850778, 0.9620603480034289]; []
DivisibleByTwo; [0.6440642462432205, 0.716008160584235, -0.8662437493865724, -0.7640409498286245, -0.9667645452788092, 0.08688832459104456, -0.39805106438031035, 0.58974368475858, 0.39977016101340435, -0.2986737752021533]; []
DivisibleByTwo; [0.8855519238524989, 0.21665917675208002, -0.11825979191021108, -0.03889088237731708, 0.16738044969739208, -0.9143305620886453, 0.43588484948384254, 0.3878746948703533, -0.0034543368852490985, 0.6531792171309898]; []
IsNotNaN; [-0.549009815229492, -0.8460553560510906, -0.16515483311306878, 0.8683290635904153, 0.7343247493647707, -0.19150450753177362, -0.8229541828086937, 0.6020520266441891, -0.17787966074329753, 0.5841375371296955]; [-0.549009815229492, -0.8460553560510906, -0.16515483311306878, 0.8683290635904153, 0.7343247493647707, -0.19150450753177362, -0.8229541828086937, 0.6020520266441891, -0.17787966074329753, 0.5841375371296955]
DivisibleByTwo; [-0.5412566534786571, 0.9679698040546596, 0.0436026892491288, -0.0868866941732549, 0.6002485189637288, -0.3464013445774241, -0.9409086052639541, -0.6610324822925782, 0.48221473191088515, 0.34322404014737873]; []
DivisibleByTwo; [0.696205184064751, -0.12131851535087357, -0.09151166186919957, -0.41080510928580605, 0.8242238241906024, 0.07190484904563998, -0.3160714892232177, 0.07627877517573833, 0.7351733647997711, -0.5519410493994099]; []
IsPositive; [0.3197081219914435, 0.12410909966503358, -0.9587828748554044, -0.05127399147043743, 0.5758742805091084, 0.48564760504568016, -0.5485489878755372, -0.03812011595635134, 0.5607114808684843, -0.9750259410607667]; [0.3197081219914435, 0.12410909966503358, 0.5758742805091084, 0.48564760504568016, 0.5607114808684843]
DivisibleByTwo; [0.957216579908515, -0.9438465422908555, 0.4287164950821589, -0.30439213524153796, 0.9335612636346744, 0.24747956443690744, 0.8537598920924223, 0.39095483916141793, 0.4554908927116821, 0.6870825349044631]; []
DivisibleByTwo; [0.4012745798880206, 0.7013649335699002, 0.7311752408226573, -0.9710622474853707, -0.3169231490502198, -0.6123244949320843, -0.029717625968722627, 0.4164576369763284, 0.7506920406878774, 0.46900705947079024]; []
IsNotNaN; [NaN, 0.02230324498909031, 0.5678219216837073, 0.22296742950648762, -0.14460763684463096, -0.618139539537915, NaN, -0.8906875084255275, -0.1315094040325795, 0.3800614816313046]; [0.02230324498909031, 0.5678219216837073, 0.22296742950648762, -0.14460763684463096, -0.618139539537915, -0.8906875084255275, -0.1315094040325795, 0.3800614816313046]
DivisibleByTwo; [0.5680971318525707, 0.6535008943865419, 0.5580648258866483, -0.317127605726264, 0.2386312873679104, -0.3355284490868804, 0.7111227679560339, -0.35109234171959547, 0.7505476839657015, 0.8113633280624373]; []
DivisibleByTwo; [-0.5502697329185495, 0.3132742364897001, 0.43546810907836186, -0.45321360319580895, 0.6244983845824179, 0.9048879855964806, -0.6598795739201724, 0.6396462247808696, 0.6651719561576073, 0.5401448953036558]; []
IsPositive; [-0.26404861529236845, -0.8315891638334332, -0.4868632111578919, 0.22997203884548267, 0.7845414443277494, 0.7261033953203748, 0.8016783487015713, 0.14392226156294896, -0.7751512565557959, -0.19880743958121916]; [0.22997203884548267, 0.7845414443277494, 0.7261033953203748, 0.8016783487015713, 0.14392226156294896]
DivisibleByTwo; [0.8033397385002656, -0.8058822790561011, 0.4580765617895015, -0.17605700321470485, -0.1702572960694415, 0.43348843450065844, 0.7282227283052889, -0.794319410527466, 0.7477513845260324, -0.49310793282612253]; []
IsPositive; [-0.7688640274328971, 0.8488157075601748, -0.9331266509935257, 0.45034184734386207, 0.9321692052115436, 0.06835999452952612, -0.3436907164334899, -0.4972894686164049, 0.6322864229441105, -0.35893813208403436]; [0.8488157075601748, 0.45034184734386207, 0.9321692052115436, 0.06835999452952612, 0.6322864229441105]
IsPositive; [0.5660766777421362, -0.7240812126734146, 0.39474374638131304, 0.786176872909885, 0.6551501450515811, 0.6237564770662598, -0.17076698214273311, -0.7177200924294738, 0.7705756045396615, -0.14387300909957457]; [0.5660766777421362, 0.39474374638131304, 0.786176872909885, 0.6551501450515811, 0.6237564770662598, 0.7705756045396615]
